keyword,tracking_location,location_name_dfs,class,target_page,llm_prompt
photography course online,UK,United Kingdom,national-money,/free-online-photography-course,false
photography courses,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
photography courses coventry,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,true
photography courses for beginners,Local,"Coventry,England,United Kingdom",local-money,/beginners-photography-classes,false
photography courses gloucestershire,Local,"Gloucester,England,United Kingdom",local-money,/photography-workshops,false
photography courses near me,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
photography courses online,UK,United Kingdom,national-money,/free-online-photography-course,false
photography courses online free,UK,United Kingdom,national-money,/free-online-photography-course,false
photography courses solihull,Local,"Solihull,England,United Kingdom",local-money,/photography-courses-coventry,false
photography evening classes,Local,"Coventry,England,United Kingdom",local-money,/photo-editing-course-coventry,false
photography experience gifts,UK,United Kingdom,national-money,/photography-gift-vouchers,false
photography gift card,UK,United Kingdom,national-money,/photography-gift-vouchers,false
photography gift voucher,UK,United Kingdom,national-money,/photography-gift-vouchers,false
photography gift vouchers,UK,United Kingdom,national-money,/photography-gift-vouchers,true
photography holidays uk,UK,United Kingdom,national-money,/photography-workshops-near-me,true
photography lessons,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
photography lessons coventry,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
photography lessons near me,Local,"Coventry,England,United Kingdom",local-money,/photography-courses-coventry,false
photography lessons online,UK,United Kingdom,national-money,/photography-lessons-online-121,false
photography masterclasses,Local,"Coventry,England,United Kingdom",local-money,/photography-masterclasses-online,false
photography mentor,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions,false
photography mentoring,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions,true
photography mentorship,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions,false
photography presents,UK,United Kingdom,national-money,/photography-gift-vouchers,false
photography training,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons,false
photography tuition,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons,false
photography tutor,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons,false
photography vouchers,UK,United Kingdom,national-money,/photography-gift-vouchers,false
photography workshop,UK,United Kingdom,national-money,/photography-workshops,false
photography workshops,UK,United Kingdom,national-money,/photography-workshops,false
photography workshops coventry,Local,"Coventry,England,United Kingdom",local-money,/photography-workshops,false
photography workshops near me,UK,United Kingdom,regional-money,/photography-workshops,false
photography workshops uk,UK,United Kingdom,national-money,/photography-workshops,true
portrait photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
portrait photography workshop,UK,United Kingdom,regional-money,/photography-workshops,false
private photography lessons,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons,false
private photography tuition,Local,"Coventry,England,United Kingdom",local-money,/private-photography-lessons,true
product photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
product photographer near me,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
product photography,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,true
product photography near me,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
professional commercial photography,Local,"Coventry,England,United Kingdom",local-money,/professional-commercial-photographer-coventry,false
professional headshots,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,true
professional headshots near me,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
professional photographer,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
professional photographer coventry,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
professional photographer near me,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
property photographer,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,true
property photographer near me,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
property photography,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
real estate photographer,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
real estate photographer near me,Local,"Coventry,England,United Kingdom",local-money,/property-photographer-coventry,false
rps courses,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions,false
rps distinctions,UK,United Kingdom,national-money,/rps-courses-mentoring-distinctions,false
still life photographer,UK,United Kingdom,national-money,/,false
team headshots,Local,"Coventry,England,United Kingdom",local-money,/professional-photographer-near-me,false
uk photography workshops,UK,United Kingdom,national-money,/photography-workshops,false
