"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","GTIN","MPN","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","4b3145af-2014-42f3-ac2a-3d803525ab8d","","","","","","SQ1204772","","","Available Sessions Left","Sat 24  Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","1331e34b-54a5-4461-b28f-f348e5a4ef0d","","","","","","SQ9290465","","","Available Sessions Left","Sat 24 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","332b2829-3727-412a-a795-759a2288f41e","","","","","","SQ7375084","","","Available Sessions Left","Sat 24 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
"","7df4a267-3b19-4252-b323-d6a0a9b717e3","","","","","","SQ0264308","","","Available Sessions Left","Sun 25 Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","77f129a6-dea2-459b-a7d9-1fbd055b87e6","","","","","","SQ9938663","","","Available Sessions Left","Sun 25 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","25cefc7d-a965-4b96-bfad-27810da12850","","","","","","SQ0693365","","","Available Sessions Left","Sun 25 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
"","3877133f-6fb7-4c4c-945c-6acde6282e67","","","","","","SQ3442432","","","Available Sessions Left","Thu 29  Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","11b7aa09-dfe3-4300-b083-de06db355cbb","","","","","","SQ8197555","","","Available Sessions Left","Thu 29 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","5311b64b-b543-444c-9eff-b089575706fb","","","","","","SQ9853668","","","Available Sessions Left","Thu 29 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
"","c9189819-3259-4687-be88-dd74c727360c","","","","","","SQ0732756","","","Available Sessions Left","Fri 30  Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","186db306-380d-4dec-807e-cf43caa91bca","","","","","","SQ6382131","","","Available Sessions Left","Fri 30 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","ddff7a04-6ff6-43e8-8108-c910dc617ad4","","","","","","SQ4533936","","","Available Sessions Left","Fri 30 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
"","41fadf16-55b3-455e-93c5-c7455755cf20","","","","","","SQ4668363","","","Available Sessions Left","Sat 31  Oct 2026 AM - 8am - 11:30am","","","","","","","","","","","150.00","99.00","Yes","6","","","","","","","",""
"","095f7ec6-e1a0-4f28-8c87-315ed5980a10","","","","","","SQ5203247","","","Available Sessions Left","Sat 31 Oct 2026 PM - 12pm - 3:30pm","","","","","","","","","","","125.00","99.00","Yes","6","","","","","","","",""
"","3434e374-cab1-4cb3-98f1-3686cc625161","","","","","","SQ1249736","","","Available Sessions Left","Sat 31 Oct 2026 All Day -8am - 3:30pm","","","","","","","","","","","175.00","150.00","Yes","6","","","","","","","",""
