slug_key,product_slug,url,category,page_type,catalog_source,target_keyword,product_title,review_count_total,review_count_active,review_count_excluded,has_reviews,sample_quote
"photo-workshops-uk/landscape-photography-snowdonia-workshops","landscape-photography-snowdonia-workshops","https://www.alanranger.com/photo-workshops-uk/landscape-photography-snowdonia-workshops","workshop (residential)","workshop","canonical_products","","Landscape Photography SNOWDONIA - Sat 26 - Sun 27 Sep 2026","5","5","0","yes","Alan has a gentle approach to those people who are on a learning curve whilst being technical and knowledgeable to the more experienced photographer. Good patient manner with a sense of humour. well o"
"photography-workshops","photography-workshops","https://www.alanranger.com/photography-workshops","service hub","service","service_hub","","Photography Workshops (residential hub)","0","0","0","no",""
"photo-workshops-uk/landscape-photography-workshops-nant-mill","landscape-photography-workshops-nant-mill","https://www.alanranger.com/photo-workshops-uk/landscape-photography-workshops-nant-mill","workshop (half-day)","workshop","canonical_products","","NANT MILL Woodlands and Waterfalls Photo Workshop 30 May","2","2","0","yes","An excellent weekend of photography with lots of variety and plenty of time for 1-2-1 tuition and group reviews."
"landscape-photography-workshops","landscape-photography-workshops","https://www.alanranger.com/landscape-photography-workshops","service hub","service","service_hub","","Landscape Photography Workshops (half-day, 2.5-4hr hub)","0","0","0","no",""
"photo-workshops-uk/suffolk-landscape-photography-workshops","suffolk-landscape-photography-workshops","https://www.alanranger.com/photo-workshops-uk/suffolk-landscape-photography-workshops","workshop (residential)","workshop","canonical_products","","SUFFOLK Landscape Photography Workshops - 5th-7th Feb","5","5","0","yes","Really enjoyable despite the challenges set by Storm Dennis.  Learnt a lot"
"photography-services-near-me/annual-pick-n-mix-subscription","annual-pick-n-mix-subscription","https://www.alanranger.com/photography-services-near-me/annual-pick-n-mix-subscription","subscription/payment-plan","product","canonical_products","","Annual Pick N Mix Subscription | Interest Free Payment Plan","3","3","0","yes","I used to shoot everything on auto settings. Aperture and shutter speeds were a mystery to me. I was always disappointed when I tried to capture pretty Christmas lights. Pinpoints of light in a sea of"
"photography-payment-plan","photography-payment-plan","https://www.alanranger.com/photography-payment-plan","service hub","service","service_hub","","Photography Payment Plan (Pick N Mix)","0","0","0","no",""
"photography-services-near-me/photography-masterclasses-coventry","photography-masterclasses-coventry","https://www.alanranger.com/photography-services-near-me/photography-masterclasses-coventry","course","course","canonical_products","","Photography Masterclasses-Learn and improve your photography","0","0","0","no",""
"photography-courses-coventry","photography-courses-coventry","https://www.alanranger.com/photography-courses-coventry","service hub","service","service_hub","","Photography Courses Coventry","0","0","0","no",""
"photography-services-near-me/rps-mentoring-photography-course","rps-mentoring-photography-course","https://www.alanranger.com/photography-services-near-me/rps-mentoring-photography-course","1-2-1","product","canonical_products","","RPS Mentoring Course (historical)","2","2","0","yes","I have recently completed a mentoring course with Alan. This was to help me prepare for a submission of a panel of work to gain my LRPS. I learned a huge amount in terms of composition, processing, te"
"rps-courses-mentoring-distinctions","rps-courses-mentoring-distinctions","https://www.alanranger.com/rps-courses-mentoring-distinctions","service hub","service","service_hub","","RPS Courses Mentoring Distinctions","0","0","0","no",""
"photography-services-near-me/camera-settings-photography-field-checklists","camera-settings-photography-field-checklists","https://www.alanranger.com/photography-services-near-me/camera-settings-photography-field-checklists","academy","academy","canonical_products","","15 Camera Settings — Photography Field Checklists PDF Bundle","0","0","0","no",""
"free-online-photography-course","free-online-photography-course","https://www.alanranger.com/free-online-photography-course","service hub","service","service_hub","","Photography Shop & Services","0","0","0","no",""
"photography-services-near-me/photography-genre-photography-field-checklists","photography-genre-photography-field-checklists","https://www.alanranger.com/photography-services-near-me/photography-genre-photography-field-checklists","academy","academy","canonical_products","","10 Genre PDFs — Photography Field Checklists Bundle","0","0","0","no",""
"photography-services-near-me/04-top-10-tips-to-better-composition","04-top-10-tips-to-better-composition","https://www.alanranger.com/photography-services-near-me/04-top-10-tips-to-better-composition","academy","academy","canonical_products","","#04 Top 10 Tips - To better composition | Professional Tips","0","0","0","no",""
